x,y,region,horizon,host,REE_anom,F_LREE,F_HREE,F_HFSE,favourability
654550.63,946879.87,ROI,S,Metasediment,0.5708082240340304,0.7147083516571383,0.7368968136568984,0.6465837764362532,0.41954183824411306
642696.99,923329.02,ROI,S,Metasediment,0.7561229093487157,0.6439051693119577,0.6136808859393116,0.7004757526086435,0.9559828888977732
635634.46,918548.1,ROI,S,Metasediment,0.7306806097128679,0.6580578099388318,0.17047135489545437,0.7747571262943269,0.7715987686403071
656531.2,947334.76,ROI,S,Metasediment,0.5193757855048178,0.27065925718626316,0.6818054611601967,0.9486267141086635,0.23119977611641945
641400.26,923137.07,ROI,S,Metasediment,0.8803374045309529,0.6704513652900492,0.3211530004397713,0.7233038819813696,0.989645384400112
656909.1,945049.25,ROI,S,Metasediment,0.6355902162353776,0.5940111142206053,0.6418262503498181,0.530524127453724,0.2968456402670611
639096.0,946759.04,ROI,S,Metasediment,0.8140166285327577,0.9032103306280734,0.12265621876624155,0.4201815056170791,0.7384959820893136
634657.93,943631.75,ROI,S,Metasediment,0.19699655183526152,0.0668852196857634,0.949746132011354,0.0879942429936433,0.16787270619277975
646638.44,955259.15,ROI,S,Metasediment,0.30395411040572334,0.01543197537280614,0.8345260464558429,0.937912285611482,0.18526366289529445
644772.53,922865.1,ROI,S,Metasediment,0.810785988205343,0.7084316155599089,0.5057769959620997,0.6779674569224003,0.9303961939791309
652540.12,952478.69,ROI,S,Metasediment,0.6941848474106539,0.6668132571063047,0.18918162555471155,0.6655339223603726,0.38388038220125537
649196.88,955095.17,ROI,S,Metasediment,0.7180641938706455,0.8442010154719546,0.09487066725302842,0.5785391596369888,0.47759165234078277
637180.15,921009.56,ROI,S,Metasediment,0.7478086429699334,0.5289649382321193,0.02918482389157638,0.9762523487786351,0.9174029504657578
656617.2,948904.42,ROI,S,Metasediment,0.43832780123102694,0.7136688921760684,0.07839923239915245,0.9313157158277695,0.20453364250589692
637771.12,930467.53,ROI,S,Metasediment,0.718450903934775,0.9920441370487346,0.04721544796705713,0.4414904249790109,0.8031423659696958
626973.24,910949.8,ROI,S,Metasediment,0.665769714156811,0.5970095550313836,0.16583376644145045,0.7901091432455123,0.6993963139167633
659072.64,946757.86,ROI,S,Metasediment,0.5785504817762883,0.67265022188462,0.1894614800303842,0.8032623036021269,0.29640586894814697
658905.62,940467.21,ROI,S,Metasediment,0.7843930263285103,0.8134570023587734,0.21568784232199256,0.3904769519849678,0.7640826770079558
635286.71,935323.52,ROI,S,Metasediment,0.47963326995585065,0.7801543197537281,0.051613161156198774,0.8990524927037941,0.22772158477591653
